stock_code,transaction_date,window_id,c_p,c_i,c_d,eps,capital_ch,capital_q,capital_retail,capital_mix,noise_ratio,explain_ratio,capital_anchor_error,closure_error
605305.SH,20260710,23,0.00291,0.000434,0.000198,-0.000139,0.01252,-0.009611,-0,-0.009611,0.040796,0.959204,0.549082,1.73e-18
605305.SH,20260710,24,-0.00396,-0.000839,-0.000259,-0.002629,-0.000043,-0.003917,-0,-0.003917,0.342044,0.657956,0.423997,1.73e-18
605305.SH,20260710,25,-0.003696,0.000423,0.00057,0.000653,0.058831,-0.047285,-0.015243,-0.062527,0.318314,0.681686,0.080098,1.73e-18
605305.SH,20260710,26,0.005555,0.00079,-0.000286,-0.000351,0.026203,-0.006792,-0.013856,-0.020648,0.061522,0.938478,0.299639,1.73e-18
605305.SH,20260710,27,0.000325,-0.001466,-0.000389,0.000395,0.000422,-0.000031,-0.000066,-0.000097,0.347936,0.652064,0.505894,1.73e-18
605305.SH,20260710,28,0.004651,0.000454,0.00034,0.000465,0.001385,0.003266,0,0.003266,0.078613,0.921387,0.011242,1.73e-18
605305.SH,20260710,29,0.003018,-0.001103,-0.000345,0.000915,0.001855,0.001164,0,0.001164,0.36831,0.63169,0.580118,1.73e-18
605305.SH,20260710,30,-0.007195,-0.000104,0.000167,-0.002108,0.00007,-0.007266,-0,-0.007266,0.228104,0.771896,0.151904,1.73e-18
605305.SH,20260710,31,-0.007042,0.001034,0.00057,0.00066,-0.001106,-0.005764,-0.000172,-0.005936,0.138221,0.861779,0.272482,1.73e-18
605305.SH,20260710,32,-0.001007,0.00141,-0.000216,-0.000186,-0.001717,0.000557,0.000153,0.00071,18600.900807,0,0.429727,1.73e-18
605305.SH,20260710,33,0.000771,-0.000093,-0.000231,0.00001,0.004349,-0.003578,-0,-0.003578,0.021666,0.978334,0.000925,1.73e-18
605305.SH,20260710,34,0.003028,-0.000098,-0.000022,0.001204,0.002316,0.000467,0.000245,0.000712,0.292844,0.707156,0.639427,1.73e-18
605305.SH,20260710,35,0.000905,-0.000327,-0.000176,-0.000175,-0.001034,0.001939,0,0.001939,0.767136,0.232864,0.062142,1.73e-18
605305.SH,20260710,36,0.001198,-0.000139,0.000187,0.000347,0.00147,-0.000273,-0,-0.000273,0.217874,0.782126,0.277046,1.73e-18
605305.SH,20260710,37,-0.003818,-0.000186,-0.000065,-0.000472,-0.001535,-0.002284,-0,-0.002284,0.104017,0.895983,0.091442,1.73e-18
605305.SH,20260710,38,-0.000684,0.00079,0.000293,-0.000171,-0.00008,-0.000217,-0.000386,-0.000603,0.748463,0.251537,0.08858,1.73e-18
605305.SH,20260710,39,0.00056,-0.000137,-0.000227,0.000032,0.000077,0.000175,0.000309,0.000483,0.140195,0.859805,0.00067,1.73e-18
605305.SH,20260710,40,-0.000957,-0.000036,0,-0.000604,0.000101,-0.001058,-0,-0.001058,0.378099,0.621901,0.084806,1.73e-18
605305.SH,20260710,41,-0.001975,0.000059,0.000087,-0.002053,-0.000207,-0.001768,-0,-0.001768,0.528697,0.471303,0.092177,1.73e-18
605305.SH,20260710,42,-0.003365,-0.00015,0.000109,0.000196,0.001045,-0.00441,-0,-0.00441,0.060936,0.939064,0.006069,1.73e-18
605305.SH,20260710,43,-0.00673,0.000823,-0.000032,-0.000042,0.001232,-0.007962,-0,-0.007962,0.007033,0.992967,0.142034,1.73e-18
605305.SH,20260710,44,-0.00773,0.00133,0.000131,0.00002,0.001637,-0.008042,-0.001324,-0.009367,0.003227,0.996773,0.230138,1.73e-18
605305.SH,20260710,45,-0.009287,0.001421,0.000013,-0.000065,0.001464,-0.006365,-0.004386,-0.010752,0.008161,0.991839,0.529207,1.73e-18
605305.SH,20260710,46,0.000719,0.001756,0.000079,0.000028,0.006651,-0.005932,-0,-0.005932,0.010785,0.989215,0.519913,1.73e-18
605305.SH,20260710,47,-0.000886,-0.000569,-0.000497,0.00008,-0.000011,-0.000875,-0,-0.000875,0.042576,0.957424,0.112786,1.73e-18
605358.SH,20260710,0,0,0,-0,0.02669,0,-0,0,-0,1,0,0,3.47e-18
605358.SH,20260710,1,0.015713,0.011797,-0,0.001222,-0.01254,0.022113,0.006139,0.028252,0.042547,0.957453,0.525613,3.47e-18
605358.SH,20260710,2,0.005101,-0.001055,-0.00014,-0.000507,0.005347,-0.000044,-0.000202,-0.000246,0.149092,0.850908,0.313213,3.47e-18
605358.SH,20260710,3,-0.011847,-0.000451,0.001739,0.00025,-0.015122,0.002928,0.000347,0.003275,0.024261,0.975739,0.513877,3.47e-18
