stock_code,transaction_date,window_id,small_passive_buy_amount,active_inferred_count,order_age_missing_count,order_age_fifo_count,Q_rule_t,active_sell_amount,active_buy_amount,active_sell_count,window_trade_count,signal_deal_sell_amount,small_passive_sell_amount,signal_deal_buy_amount,pi_max_price_impact_pct,R_seed_t,window_close_price,order_age_recovered_count,deal_amount,active_buy_count,signed_mix_qr_amount,large_active_buy_amount,side_fallback_count,window_open_price,order_age_unresolved_count,order_age_direct_count,passive_retail_amount,unknown_side_amount,large_active_sell_amount,passive_quant_amount,signed_large_active_amount,active_non_large_amount,CH_rule_t
000002.SZ,20260709,30,1517163,1047,0,0,-1586519,3415369,1828555,564,1047,3726761,3726466,1517163,-0.0033670033670034445,0,2.96,1047,5243924,483,-2209303,0,0,2.96,0,1047,0,0,295,0,-295,-1586519,-295
000002.SZ,20260709,31,1364820,896,0,0,-454150.12,1674224.12,1219484,249,896,1528888.12,1528298.12,1364820,0,0,2.96,896,2893708.12,647,-163478.12,0,0,2.97,0,896,0,0,590,0,-590,-454150.12,-590
000002.SZ,20260709,32,330264,225,0,0,-690936,1021200,330264,168,225,1021200,1021200,330264,0,0,2.96,225,1351464,57,-690936,0,0,2.96,0,225,0,0,0,0,0,-690936,0
000002.SZ,20260709,33,1181763,173,0,0,492971,688792,1181763,78,173,688792,688792,1181763,0.0033783783783784566,0,2.97,173,1870555,95,492971,0,0,2.97,0,173,0,0,0,0,0,492971,0
000002.SZ,20260709,34,2790018,472,0,0,1092984.88,2199280,2790018,217,472,2199280,1697033.12,2790018,-0.0033670033670034445,0,2.96,472,4989298,255,1092984.88,0,0,2.96,0,472,0,0,502246.88,0,-502246.88,1092984.88,-502246.88
000002.SZ,20260709,35,3483159,803,0,0,2617882,870326,3488208,110,803,875375,875375,3483159,0.0033783783783784566,0,2.97,803,4358534,693,2607784,0,0,2.97,0,803,0,0,0,0,0,2617882,0
000002.SZ,20260709,36,348958,309,0,0,-155051,504009,348958,104,309,504009,504009,348958,0.003367003367003295,0,2.98,309,852967,205,-155051,0,0,2.97,0,309,0,0,0,0,0,-155051,0
000002.SZ,20260709,37,1644657,1689,0,0,-2248064,3844560,1582882,1160,1689,3782487,3768575,1644955,-0.0033557046979865056,0,2.97,1689,5427442,529,-2123918,298,0,2.97,0,1689,0,0,13912,0,-13614,-2248064,-13614
000002.SZ,20260709,38,2189311,719,0,4,951317,1306007,2258218,118,719,1374020,1374020,2190205,0,0,2.97,719,3564225,601,815291,894,0,2.97,0,715,0,0,0,0,894,951317,894
000002.SZ,20260709,39,659237,814,0,0,-2961995,3670909,644090,672,814,3655762,3590938,659237,-0.0033670033670034445,0,2.96,814,4314999,142,-2931701,0,0,2.97,0,814,0,0,64824,0,-64824,-2961995,-64824
000002.SZ,20260709,40,2860411,736,0,1,2258887,563502,2835811,155,736,523704,521928,2875609,0.0033783783783784566,0,2.97,736,3399313,581,2338483,15198,0,2.97,0,735,0,0,1776,0,13422,2258887,13422
000002.SZ,20260709,41,632356,279,0,0,-139250,771606,632356,159,279,771606,771606,632356,0.003367003367003295,0,2.98,279,1403962,120,-139250,0,0,2.98,0,279,0,0,0,0,0,-139250,0
000002.SZ,20260709,42,1876208,535,0,0,1070744,1403622,1876208,99,535,1403622,805464,1876208,0,0,2.98,535,3279830,436,1070744,0,0,2.98,0,535,0,0,598158,0,-598158,1070744,-598158
000002.SZ,20260709,43,3028574,1434,0,2,2501102,527472,3028574,116,1434,527472,527472,3028574,0,0,2.98,1434,3556046,1318,2501102,0,0,2.98,0,1432,0,0,0,0,0,2501102,0
000002.SZ,20260709,44,3764447,1266,0,10,293142,2245035,2538177,447,1266,1018765,1018765,3764447,0.0033557046979866547,0,2.99,1266,4783212,819,2745682,0,0,2.98,0,1256,0,0,0,0,0,293142,0
000002.SZ,20260709,45,2571101,763,0,0,282729.19999999995,2288371.8,2571101,330,763,2288371.8,2288371.8,2571101,0,0,2.99,763,4859472.8,433,282729.19999999995,0,0,2.99,0,763,0,0,0,0,0,282729.19999999995,0
000002.SZ,20260709,46,3326973,1169,0,0,1325009,2001964,3326973,420,1169,2001964,2001964,3326973,-0.0033444816053512477,0,2.98,1169,5328937,749,1325009,0,0,2.98,0,1169,0,0,0,0,0,1325009,0
000002.SZ,20260709,47,3602366.88,694,0,2,-2799590.96,4262597.96,1463007,491,694,2123238.08,2123238.08,3602366.88,0,0,2.98,694,5725604.96,203,1479128.7999999998,0,0,2.99,0,692,0,0,0,0,0,-2799590.96,0
000004.SZ,20260709,0,108250,39,0,0,87485.61,20764.39,108250,12,39,20764.39,20764.39,108250,-0.025000000000000022,0,0.39,39,129014.39,27,87485.61,0,0,0.4,0,39,0,0,0,0,0,87485.61,0
000004.SZ,20260709,1,468.39,16,0,0,35724,3276,39000,10,16,41807.61,41807.61,468.39,0,0,0.39,16,42276,6,-41339.22,0,0,0.39,0,16,0,0,0,0,0,35724,0
000004.SZ,20260709,2,0,7,0,0,-4173,4173,0,7,7,4173,4173,0,0,0,0.39,7,4173,0,-4173,0,0,0.39,0,7,0,0,0,0,0,-4173,0
000004.SZ,20260709,3,275649,101,0,0,-35721,298570,262849,26,101,285770,285770,275649,0.07692307692307684,0,0.42,101,561419,75,-10121,0,0,0.39,0,101,0,0,0,0,0,-35721,0
000004.SZ,20260709,4,0,31,0,0,-143556,143556,0,31,31,143556,143556,0,0,0,0.42,31,143556,0,-143556,0,0,0.42,0,31,0,0,0,0,0,-143556,0
000004.SZ,20260709,5,0,20,0,0,-89880,89880,0,20,20,89880,89880,0,0,0,0.42,20,89880,0,-89880,0,0,0.42,0,20,0,0,0,0,0,-89880,0
000004.SZ,20260709,6,0,28,0,0,-490723.8,490723.8,0,28,28,490723.8,490723.8,0,0,0,0.42,28,490723.8,0,-490723.8,0,0,0.42,0,28,0,0,0,0,0,-490723.8,0
000004.SZ,20260709,7,1297.8,19,0,0,-5141.6,6439.4,1297.8,17,19,6439.4,6439.4,1297.8,-0.023809523809523832,0,0.41,19,7737.2,2,-5141.6,0,0,0.42,0,19,0,0,0,0,0,-5141.6,0
000004.SZ,20260709,8,2646,11,0,0,-282.2199999999999,2928.22,2646,9,11,2928.22,2928.22,2646,0,0,0.41,11,5574.22,2,-282.2199999999999,0,0,0.41,0,11,0,0,0,0,0,-282.2199999999999,0
000004.SZ,20260709,9,0,6,0,0,-10250,10250,0,6,6,10250,10250,0,0,0,0.41,6,10250,0,-10250,0,0,0.41,0,6,0,0,0,0,0,-10250,0
000004.SZ,20260709,10,178765.02,36,0,0,164317.02,14448,178765.02,7,36,14448,14448,178765.02,0.024390243902439046,0,0.42,36,193213.02,29,164317.02,0,0,0.42,0,36,0,0,0,0,0,164317.02,0
