stock_code,phi_rms_7d,beta_ch_rms_7d,beta_q_rms_7d,beta_retail_rms_7d,beta_mix_rms_7d,theta_rms_7d
603601.SH,0.7276609014570335,0.007495847656356947,0.008361327453685834,0.0,0.008361327453685834,0.6422823294197284
603608.SH,0.39800924037450774,0.005688223295214512,0.005494990383261677,0.0,0.005494990383261677,0.2516198789711316
603679.SH,0.23928931831112665,0.0021035989664595807,0.003938646628984651,0.0,0.003938646628984651,0.15530235021216196
603686.SH,0.2441238761837748,0.00124128143169264,0.001238242476332429,0.0,0.001238242476332429,0.18498961334335595
603700.SH,0.2728735335328308,0.0020552880076034345,0.0016355991209926755,0.0,0.0016355991209926755,0.15715393502957015
603717.SH,0.643247842918195,0.0018181241913066523,0.0014121539484634384,0.0,0.0014121539484634384,0.3315559732627805
603721.SH,0.2380523993746203,0.0021093680508939036,0.002350370403543698,0.0,0.002350370403543698,0.15288758211011447
603773.SH,0.6850568869859917,0.005173601039606154,0.0037914761797389375,0.0,0.0037914761797389375,0.1774385177004743
603779.SH,0.41516144339154865,0.003210982822605249,0.0015205138642293459,0.0,0.0015205138642293459,0.1990761819662364
603893.SH,0.2681087833660222,0.003068471523463549,0.0050293589176135375,0.0,0.0050293589176135375,0.1842474980013348
603918.SH,0.2155488279753181,0.0046212784580152945,0.0031550023458126507,0.0,0.0031550023458126507,0.19840719108121252
603936.SH,0.5174601387539651,0.0030393624645236386,0.0032735814934077147,0.0,0.0032735814934077147,0.15074818146128682
603937.SH,0.4239481321288658,0.00252447037659222,0.006389802587311889,0.0,0.006389802587311889,0.1844190704508457
605006.SH,0.1934472857806506,0.0029866571623514714,0.0024883537808124867,0.0,0.0024883537808124867,0.15366046061260577
605066.SH,0.3613839532487017,0.007601050185193103,0.001227863717965407,0.0,0.001227863717965407,0.3568048833333989
605069.SH,0.237518101007322,0.0068972252566857715,0.0028313819398116235,0.0,0.0028313819398116235,0.11604930596334072
605162.SH,0.2744656409184342,0.005896499666728878,0.0017352304224499838,0.0,0.0017352304224499838,0.13671439994649204
605287.SH,0.30532065771221556,0.0053304018872285044,0.003306099060378279,0.0,0.003306099060378279,0.17690589634348913
605299.SH,0.49394004904556105,0.0048722466975884395,0.0028993837487043973,0.0,0.0028993837487043973,0.3140960895175974
605366.SH,0.22281626361404547,0.0030591896682789443,0.0025765726340680694,0.0,0.0025765726340680694,0.11318430723614523
605389.SH,0.5151719069614008,0.0013992019088906258,0.0018855578886644209,0.0,0.0018855578886644209,0.3563663181464202
688008.SH,0.410902545320828,0.002697155658771251,0.0017610775264950184,0.0,0.0017610775264950184,0.30890266133723443
688082.SH,0.5394141112704264,0.003887809594795614,0.0038381622127765316,0.0,0.0038381622127765316,0.26999396204234277
688169.SH,0.074338873767362,0.0010357545173850628,0.0012847441640487383,0.0,0.0012847441640487383,0.14267290180477601
688496.SH,0.758259613792328,0.024388222594877888,0.01088655019126743,0.0,0.01088655019126743,0.034018992366950204
688509.SH,0.357609312331585,0.0041565883333035255,0.002159500078853235,0.0,0.002159500078853235,0.18097022679363078
688560.SH,0.3868608357598264,0.004787511607671656,0.001189869225837406,0.0,0.001189869225837406,0.14986564188548443
