stock_code,transaction_date,window_id,deal_amount,signal_deal_buy_amount,signal_deal_sell_amount,signed_large_active_amount,signed_mix_qr_amount,CH_rule_t,Q_rule_t,R_seed_t,large_active_buy_amount,large_active_sell_amount,small_passive_buy_amount,small_passive_sell_amount,unknown_side_amount,window_open_price,window_close_price,window_trade_count,active_inferred_count,side_fallback_count,low_fallback_count,order_age_recovered_count,order_age_missing_count,order_age_direct_count,order_age_fifo_count,order_age_unresolved_count,active_buy_count,active_sell_count,active_buy_amount,active_sell_amount,pi_max_price_impact_pct
000002.SZ,20260709,1,13542795,4914206,8628589,-1992548.3,-1721834.7000000002,-1992548.3,-988754.7,0,132457,2125005.3,4781749,6503583.7,0,2.99,2.98,1991,1991,0,,1991,0,1991,0,0,1177,814,5280746,8262049,-0.0033444816053512477
000002.SZ,20260709,2,11452453,8218665,3233788,41860,4943017,41860,5088927,0,41860,0,8176805,3233788,0,2.98,3,1113,1113,0,,1113,0,1113,0,0,630,483,8291620,3160833,0.00671140939597316
000002.SZ,20260709,3,8429091,7412595,1016496,939130,5456969,939130,5465369,0,939130,0,6473465,1016496,0,3,3,554,554,0,,554,0,550,4,0,411,143,7416795,1012296,0
000002.SZ,20260709,4,10669381,2452988,8216393,0,-5763405,0,-7071405,0,0,0,2452988,8216393,0,3.01,3,1287,1287,0,,1287,0,1287,0,0,206,1081,1798988,8870393,0
000002.SZ,20260709,5,15324164,12802662,2521502,99660,10181500,99660,4200010,0,99660,0,12703002,2521502,0,3.01,3.01,1359,1359,0,,1359,0,1359,0,0,745,614,9811917,5512247,0.0033333333333332624
000002.SZ,20260709,6,7211087,608140,6602947,0,-5994807,0,-5994807,0,0,0,608140,6602947,0,3.02,3,939,939,0,,939,0,939,0,0,158,781,608140,6602947,-0.003322259136212554
000002.SZ,20260709,7,7748229,5412740,2335489,60400,3016851,60400,3202869,0,60400,0,5352340,2335489,0,3.01,3.01,1474,1474,0,,1474,0,1474,0,0,1138,336,5505749,2242480,0.0033333333333332624
000002.SZ,20260709,8,4403852,1401880,3001972,0,-1600092,0,-1647048,0,0,0,1401880,3001972,0,3.01,3,663,659,0,,663,0,663,0,0,379,280,1378402,3020333,-0.003322259136212554
000002.SZ,20260709,9,3281492,298592,2982900,-765000,-1919308,-765000,-1919308,0,0,765000,298592,2217900,0,3.01,3,355,355,0,,355,0,355,0,0,62,293,298592,2982900,0
000002.SZ,20260709,10,3325867,1910131,1415736,0,494395,0,456595,0,0,0,1910131,1415736,0,3,2.99,720,720,0,,720,0,720,0,0,519,201,1891231,1434636,-0.0033333333333332624
000002.SZ,20260709,11,7911736,563377,7348359,-596,-6784386,-596,-6786180,0,0,596,563377,7347763,0,2.99,2.98,981,981,0,,981,0,981,0,0,125,856,562480,7349256,-0.0033444816053512477
000002.SZ,20260709,12,1497401,252655,1244746,0,-992091,0,-992091,0,0,0,252655,1244746,0,2.98,2.99,232,232,0,,232,0,232,0,0,75,157,252655,1244746,0.0033557046979866547
000002.SZ,20260709,13,3162876,327704,2835172,0,-2507468,0,-2507468,0,0,0,327704,2835172,0,2.99,2.99,378,378,0,,378,0,378,0,0,67,311,327704,2835172,0
000002.SZ,20260709,14,5047674,1045200,4002474,-7425.000000000001,-2949849,-7425.000000000001,-2967729,0,0,7425.000000000001,1045200,3995049,0,2.99,2.98,558,558,0,,558,0,558,0,0,144,414,1036260,4011414,-0.0033444816053512477
000002.SZ,20260709,15,1316491,852280,464211,0,388069,0,388069,0,0,0,852280,464211,0,2.98,2.98,217,217,0,,217,0,217,0,0,141,76,852280,464211,0
000002.SZ,20260709,16,2723149,606430,2116719,-1057320,-452969,-1057320,-452969,0,0,1057320,606430,1059399,0,2.97,2.97,197,197,0,,197,0,197,0,0,113,84,606430,2116719,-0.0033557046979865056
000002.SZ,20260709,17,12954238.3,591642,12362596.3,2153547,-9617407.3,2153547,7192733.3,0,2153547,0,591642,10209049.3,0,2.97,2.96,848,848,0,,848,0,848,0,0,637,211,11150259.3,1803979,-0.0033670033670034445
000002.SZ,20260709,18,3356279,1563111,1793168,-505864,275807,-505864,275807,0,0,505864,1563111,1287304,0,2.97,2.97,301,301,0,,301,0,301,0,0,192,109,1563111,1793168,0.0033783783783784566
000002.SZ,20260709,19,2597388,1578852,1018536,0,560316,0,560316,0,0,0,1578852,1018536,0,2.97,2.97,310,310,0,,310,0,310,0,0,227,83,1578852,1018536,0
000002.SZ,20260709,20,2647679,1042767,1604912,0,-562145,0,-562145,0,0,0,1042767,1604912,0,2.96,2.97,250,250,0,,250,0,250,0,0,99,151,1042767,1604912,0
000002.SZ,20260709,21,1779307,1158003,621304,0,536699,0,536699,0,0,0,1158003,621304,0,2.97,2.97,241,241,0,,241,0,241,0,0,172,69,1158003,621304,0
000002.SZ,20260709,22,1807093,882981,924112,0,-41131,0,-41131,0,0,0,882981,924112,0,2.97,2.97,195,195,0,,195,0,195,0,0,103,92,882981,924112,0
000002.SZ,20260709,23,3201206,2011878,1189328,0,822550,0,822550,0,0,0,2011878,1189328,0,2.97,2.97,431,431,0,,431,0,431,0,0,267,164,2011878,1189328,0
000002.SZ,20260709,24,4221906,2566674,1655232,0,911442,0,911442,0,0,0,2566674,1655232,0,2.97,2.96,686,686,0,,686,0,686,0,0,489,197,2566674,1655232,-0.0033670033670034445
000002.SZ,20260709,25,6420585.79,4724436.58,1696149.21,4768,3023519.37,4768,3638861.79,0,4768,0,4719668.58,1696149.21,0,2.96,2.97,1112,1112,0,,1112,0,1112,0,0,851,261,5032107.79,1388478,0.0033783783783784566
000002.SZ,20260709,26,2526638.2,1162042,1364596.2,0,-202554.2,0,29105.799999999977,0,0,0,1162042,1364596.2,0,2.97,2.98,337,337,0,,337,0,337,0,0,161,176,1277872,1248766.2,0.003367003367003295
000002.SZ,20260709,27,6199854.800000001,1480631,4719223.800000001,-1196197.2000000002,-2042395.5999999999,-1196197.2000000002,-2379193.6,0,0,1196197.2000000002,1480631,3523026.5999999996,0,2.98,2.97,404,404,0,,404,0,404,0,0,187,217,1312232,4887622.800000001,-0.0033557046979865056
000002.SZ,20260709,28,11562208,694213,10867995,-656824,-9516958,-656824,-9527022,0,0,656824,694213,10211171,0,2.97,2.96,1626,1626,0,,1626,0,1626,0,0,150,1476,689181,10873027,-0.0033670033670034445
000002.SZ,20260709,29,7296144,5824849,1471295,0,4353554,0,4437618,0,0,0,5824849,1471295,0,2.96,2.97,1021,1021,0,,1021,0,1021,0,0,913,108,5866881,1429263,0.0033783783783784566
000002.SZ,20260709,30,5243924,1517163,3726761,-295,-2209303,-295,-1586519,0,0,295,1517163,3726466,0,2.96,2.96,1047,1047,0,,1047,0,1047,0,0,483,564,1828555,3415369,-0.0033670033670034445
000002.SZ,20260709,31,2893708.12,1364820,1528888.12,-590,-163478.12,-590,-454150.12,0,0,590,1364820,1528298.12,0,2.97,2.96,896,896,0,,896,0,896,0,0,647,249,1219484,1674224.12,0
