stock_code,transaction_date,mode,kf_converged,dominant_type,dominant_intention,hot_money_ratio,quant_ratio,retail_ratio,phi_tail,theta_tail,beta_ch_tail,beta_mix_tail,beta_q_tail,beta_retail_tail,c_p_tail,c_i_tail,c_d_tail,capital_ch_tail,capital_q_tail,capital_retail_tail,capital_anchor_error_tail,noise_ratio_tail,explain_ratio_tail,capital_identity_error,closure_error,warnings
605358.SH,20260710,baseline_4d,false,游资,买入,0.604167,0.3125,0.083333,-0.058515,-0.061072,-0.000565,-0.004691,-0.004691,0.0,-0.001892,-0.000171,0.000179,0.000258,-0.001021,-0.001128,0.018252,0.64443,0.35557,0.00e+00,3.47e-18,KF did not converge
688008.SH,20260710,baseline_4d,false,游资,买入,0.708333,0.208333,0.083333,-0.659802,0.221358,0.002336,0.004002,0.004002,0.0,-0.003258,0.001841,0.000724,0.000361,-0.001497,-0.002123,0.073153,0.020957,0.979043,0.00e+00,1.73e-18,KF did not converge
688009.SH,20260710,baseline_4d,false,unknown,买入,0.229167,0.770833,0.0,-0.043521,0.043271,-0.00191,0.000116,0.000116,0.0,0.000123,7.6e-05,-0.000173,-0.0,0.000123,0.0,0.0,2654.341498,0.0,0.00e+00,8.67e-19,KF did not converge
688028.SH,20260710,baseline_4d,false,游资,卖出,0.604167,0.395833,0.0,-0.013538,-0.095265,0.003086,0.009934,0.009934,0.0,-0.004208,3.9e-05,0.000115,-0.00108,-0.003128,-0.0,0.067038,0.073362,0.926638,0.00e+00,1.73e-18,KF did not converge
688096.SH,20260710,baseline_4d,false,unknown,买入,0.333333,0.645833,0.020833,0.809956,-0.09008,-0.004322,-0.018616,-0.018616,0.0,0.024778,-0.012167,0.001755,-0.000994,0.025771,0.0,0.246753,0.006675,0.993325,0.00e+00,3.47e-18,KF did not converge
688126.SH,20260710,baseline_4d,false,unknown,卖出,0.479167,0.5,0.020833,-0.116391,-0.253616,0.03715,-0.003283,-0.003283,0.0,-0.005517,0.000364,2e-06,-0.005375,-4.9e-05,-9.4e-05,0.929159,0.102019,0.897981,0.00e+00,3.47e-18,KF did not converge
688137.SH,20260710,baseline_4d,false,unknown,卖出,0.229167,0.75,0.020833,-0.036951,-0.257403,-0.00144,0.001227,0.001227,0.0,-0.001041,-6e-06,-0.00013,0.000667,-0.001707,-0.0,0.656989,0.148276,0.851724,0.00e+00,3.47e-18,KF did not converge
688358.SH,20260710,baseline_4d,false,unknown,买入,0.4375,0.520833,0.041667,-0.21885,-0.064658,-0.00969,0.003011,0.003011,0.0,0.002529,0.001529,0.000137,0.002797,-0.000268,-0.0,0.866165,0.182656,0.817344,0.00e+00,3.47e-18,KF did not converge | Capital anchor consistency is weak
688516.SH,20260710,baseline_4d,false,unknown,卖出,0.479167,0.5,0.020833,-0.557265,-0.2478,0.008499,0.005541,0.005541,0.0,-0.002419,0.001787,0.000297,-0.00107,-0.000923,-0.000425,0.343102,0.789956,0.210044,0.00e+00,3.47e-18,KF did not converge
688521.SH,20260710,baseline_4d,false,游资,卖出,0.520833,0.395833,0.083333,-0.677633,0.09017,-0.001362,-0.013233,-0.013233,0.0,-0.006215,0.005028,-0.000271,-0.000343,-0.005872,-0.0,0.085255,0.066473,0.933527,0.00e+00,3.47e-18,KF did not converge
688560.SH,20260710,baseline_4d,false,unknown,卖出,0.333333,0.645833,0.020833,0.318087,-0.16545,0.005811,0.013641,0.013641,0.0,-0.000708,-1e-05,0.000879,0.000198,-0.000907,-0.0,0.179609,1.091059,0.0,0.00e+00,8.67e-19,KF did not converge
688573.SH,20260710,baseline_4d,false,unknown,买入,0.25,0.75,0.0,0.228159,-0.130422,-0.011859,0.005822,0.005822,0.0,0.01311,-0.001768,0.001148,0.010441,0.002656,1.3e-05,0.796424,0.013207,0.986793,0.00e+00,1.73e-18,KF did not converge
688582.SH,20260710,baseline_4d,false,游资,买入,0.520833,0.458333,0.020833,-0.002828,-0.252328,-0.00037,0.002669,0.002669,0.0,-0.002181,-0.000447,0.000177,0.000334,-0.002514,-0.0,0.140797,0.175054,0.824946,0.00e+00,3.47e-18,KF did not converge
688592.SH,20260710,baseline_4d,false,unknown,买入,0.4375,0.541667,0.020833,-0.257442,0.113767,-0.015823,-0.00117,-0.00117,0.0,0.005605,0.001851,-0.000612,0.005646,-4.1e-05,-0.0,0.961825,0.097218,0.902782,0.00e+00,6.94e-18,KF did not converge
688613.SH,20260710,baseline_4d,false,unknown,买入,0.354167,0.625,0.020833,-0.111351,-0.064186,-0.001507,-0.004056,-0.004056,0.0,0.003259,-0.000827,-0.000529,-0.003406,0.005376,0.00129,0.010091,0.008787,0.991213,0.00e+00,3.47e-18,KF did not converge
688685.SH,20260710,baseline_4d,false,游资,买入,0.604167,0.395833,0.0,-0.851866,0.157583,-0.001782,0.004817,0.004817,0.0,0.000347,0.004572,-0.000165,0.002175,-0.000237,-0.00159,0.137034,0.001234,0.998766,0.00e+00,3.47e-18,KF did not converge
