trade_date,symbol,file_role,file_path,file_exists,file_size,null_byte_ratio,encoding_used,header_valid,raw_row_count,effective_row_count,quality_status,reason_code,action
20260710,688028.SH,quote,C:\level-2-ana\data\20260710\20260710\688028.SH\行情.csv,true,1790336,0.0,gb18030,true,4608,4608,ok,ok,use_raw
20260710,688096.SH,trade,C:\level-2-ana\data\20260710\20260710\688096.SH\逐笔成交.csv,true,1146749,0.0,gb18030,true,13462,13462,ok,ok,use_raw
20260710,688096.SH,order,C:\level-2-ana\data\20260710\20260710\688096.SH\逐笔委托.csv,true,1510943,0.0,gb18030,true,23171,23171,ok,ok,use_raw
20260710,688096.SH,quote,C:\level-2-ana\data\20260710\20260710\688096.SH\行情.csv,true,1500406,0.0,gb18030,true,4244,4244,ok,ok,use_raw
20260710,688126.SH,trade,C:\level-2-ana\data\20260710\20260710\688126.SH\逐笔成交.csv,true,20490819,0.0,gb18030,true,239590,239590,ok,ok,use_raw
20260710,688126.SH,order,C:\level-2-ana\data\20260710\20260710\688126.SH\逐笔委托.csv,true,25096316,0.0,gb18030,true,384850,384850,ok,ok,use_raw
20260710,688126.SH,quote,C:\level-2-ana\data\20260710\20260710\688126.SH\行情.csv,true,1956470,0.0,gb18030,true,5158,5158,ok,ok,use_raw
20260710,688137.SH,trade,C:\level-2-ana\data\20260710\20260710\688137.SH\逐笔成交.csv,true,359554,0.0,gb18030,true,4203,4203,ok,ok,use_raw
20260710,688137.SH,order,C:\level-2-ana\data\20260710\20260710\688137.SH\逐笔委托.csv,true,818311,0.0,gb18030,true,12690,12690,ok,ok,use_raw
20260710,688137.SH,quote,C:\level-2-ana\data\20260710\20260710\688137.SH\行情.csv,true,1031691,0.0,gb18030,true,2845,2845,ok,ok,use_raw
20260710,688358.SH,trade,C:\level-2-ana\data\20260710\20260710\688358.SH\逐笔成交.csv,true,403372,0.0,gb18030,true,4723,4723,ok,ok,use_raw
20260710,688358.SH,order,C:\level-2-ana\data\20260710\20260710\688358.SH\逐笔委托.csv,true,584976,0.0,gb18030,true,9096,9096,ok,ok,use_raw
20260710,688358.SH,quote,C:\level-2-ana\data\20260710\20260710\688358.SH\行情.csv,true,1110955,0.0,gb18030,true,3036,3036,ok,ok,use_raw
20260710,688516.SH,trade,C:\level-2-ana\data\20260710\20260710\688516.SH\逐笔成交.csv,true,3020946,0.0,gb18030,true,35219,35219,ok,ok,use_raw
20260710,688516.SH,order,C:\level-2-ana\data\20260710\20260710\688516.SH\逐笔委托.csv,true,6340384,0.0,gb18030,true,96709,96709,ok,ok,use_raw
20260710,688516.SH,quote,C:\level-2-ana\data\20260710\20260710\688516.SH\行情.csv,true,1786017,0.0,gb18030,true,4867,4867,ok,ok,use_raw
20260710,688521.SH,trade,C:\level-2-ana\data\20260710\20260710\688521.SH\逐笔成交.csv,true,9172816,0.0,gb18030,true,106215,106215,ok,ok,use_raw
20260710,688521.SH,order,C:\level-2-ana\data\20260710\20260710\688521.SH\逐笔委托.csv,true,17031969,0.0,gb18030,true,256849,256849,ok,ok,use_raw
20260710,688521.SH,quote,C:\level-2-ana\data\20260710\20260710\688521.SH\行情.csv,true,1969321,0.0,gb18030,true,5087,5087,ok,ok,use_raw
20260710,688560.SH,trade,C:\level-2-ana\data\20260710\20260710\688560.SH\逐笔成交.csv,true,658734,0.0,gb18030,true,7667,7667,ok,ok,use_raw
