stock_code,transaction_date,mode,kf_converged,dominant_type,dominant_intention,hot_money_ratio,quant_ratio,retail_ratio,phi_tail,theta_tail,beta_ch_tail,beta_mix_tail,beta_q_tail,beta_retail_tail,c_p_tail,c_i_tail,c_d_tail,capital_ch_tail,capital_q_tail,capital_retail_tail,capital_anchor_error_tail,noise_ratio_tail,explain_ratio_tail,capital_identity_error,closure_error,warnings
600857.SH,20260709,baseline_4d,false,量化,买入,0.395833,0.5625,0.041667,-0.018197,-0.060435,0.000828,0.00192,0.00192,0,0.000601,-0.000001,-0.000062,-0.001695,0.002296,0,0.251698,0.044921,0.955079,8.67e-19,3.47e-18,KF did not converge
600866.SH,20260709,baseline_4d,false,量化,买入,0.291667,0.708333,0,-0.52591,0.190817,-0.02529,-0.000403,-0.000403,0,0.000125,0.001126,-0.001265,-0,0.000125,0,0,1409.539073,0,4.34e-19,1.73e-18,KF did not converge
600893.SH,20260709,baseline_4d,false,游资,买入,0.541667,0.4375,0.020833,0.261374,0.105141,-0.004786,-0.000424,-0.000424,0,0.001323,-0.001019,-0.000735,0.000072,0.001252,0,0.059792,0.540282,0.459718,4.34e-19,8.67e-19,KF did not converge
600903.SH,20260709,baseline_4d,false,量化,买入,0.395833,0.604167,0,-0.302981,-0.090853,0.003573,-0.001386,-0.001386,0,-0.002826,0.001952,0.000877,-0.006755,0.00393,0,0.629229,405.417137,0,4.34e-19,8.67e-19,KF did not converge
600936.SH,20260709,baseline_4d,false,量化,卖出,0.166667,0.833333,0,0.023584,-0.203995,-0.003441,0.000493,0.000493,0,-0.00071,-0.000426,0.000894,-0.00002,-0.00069,-0,0.027627,24245.788809,0,0.00e0,3.47e-18,KF did not converge
601009.SH,20260709,baseline_4d,false,量化,卖出,0.479167,0.520833,0,0.315527,-0.243151,-0.001422,0.000756,0.000756,0,-0.000776,-0.000884,0.000684,0.000076,-0.000852,-0,0.813645,0.039626,0.960374,2.17e-19,1.08e-18,KF did not converge
601117.SH,20260709,baseline_4d,false,量化,买入,0.375,0.625,0,-0.107505,-0.051974,-0.01034,0.013953,0.013953,0,0.00066,0.000029,-0,-0,0.00066,0,0.332373,68829.137119,0,8.67e-19,1.84e-18,KF did not converge
601186.SH,20260709,baseline_4d,false,量化,卖出,0.104167,0.895833,0,0.013674,-0.040225,-0.00186,0.00006,0.00006,0,-0.00006,-0.000006,0.000066,-0,-0.00006,-0,0,46.238524,0,4.34e-19,6.51e-19,KF did not converge
601328.SH,20260709,baseline_4d,false,量化,卖出,0.416667,0.583333,0,-0.18595,-0.216877,-0.001019,0.00051,0.00051,0,0.000363,0.000546,0.000648,0.001129,-0.000766,-0,0.321569,0.038199,0.961801,1.08e-19,1.73e-18,KF did not converge
601398.SH,20260709,baseline_4d,false,量化,卖出,0.458333,0.541667,0,0.077883,0.093156,0.000606,0.000499,0.000499,0,-0.00137,-0.000011,0,-0.000326,-0.001044,-0,0.035526,0.005526,0.994474,4.34e-19,8.67e-19,KF did not converge
