trade_date,symbol,window_id,mode_name,q_type,u_source_type,estimator_method,state_space_contract,psi_prediction_semantics,y_observed,y_hat_next,v_q_observed,v_hat_q_next,c_p,c_i,c_d,eps,capital_ch,capital_q,capital_retail,capital_mix,beta_norm_ch_diag,beta_norm_q_diag,beta_norm_retail_diag,beta_norm_mix_diag,m_eff_ch_diag,m_eff_q_diag,m_eff_retail_diag,m_eff_mix_diag,beta_norm_unit,m_eff_source_type,m_eff_clipped_flag,closure_impl_error,model_residual,param_stability_flag,m_eff_rank_eligible,data_leakage_check,m_slow_method,thin_trade_window,cross_symbol_comparable,domain_mapping_valid_flag,warnings
20260710,600030.SH,40,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,-0.001761,-0.000787,-0.001761,-0.000787,-0.00257,-0.000083,0.001039,-0.000146,-0.001261,-0.001309,-0,-0.001309,0.000907,0.000471,,0.000471,1102.923574,2122.727816,,2122.727816,amount_response,amount_ratio_proxy,false,4.34e-19,-0.000146,warn,false,pass,ewma_realtime,false,false,true,KF did not converge
20260710,600030.SH,41,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,-0.000705,0.000118,-0.000705,0.000118,0.000382,0.000042,-0.001211,0.000082,0.000248,0.000134,0,0.000134,0.00067,-0.00004,,-0.00004,1492.445044,25228.619409,,25228.619409,amount_response,amount_ratio_proxy,false,4.34e-19,0.000082,warn,false,pass,ewma_realtime,false,false,true,KF did not converge
20260710,600030.SH,42,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,0,0.000272,0,0.000272,-0.000227,0.000087,0.000259,-0.000118,-0.000038,-0.00019,-0,-0.00019,0.000019,-0.00007,,-0.00007,53329.834667,14195.139064,,14195.139064,amount_response,amount_ratio_proxy,false,4.34e-19,-0.000118,warn,false,pass,ewma_realtime,false,false,true,KF did not converge
20260710,600030.SH,43,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,0.000353,0.000048,0.000353,0.000048,0.000158,-0.000059,0.000173,0.000081,0.000042,0.000116,0,0.000116,0.000009,0.000014,,0.000014,115256.146971,71836.596543,,71836.596543,amount_response,amount_ratio_proxy,false,4.34e-19,0.000081,warn,false,pass,ewma_realtime,false,false,true,KF did not converge
20260710,600030.SH,44,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,0,-0.001061,0,-0.001061,-0.000056,0.000018,0.000087,-0.000048,0.001141,-0.001197,-0,-0.001197,0.000317,-0.000218,-0,-0.000218,3150.361977,4588.020246,1000000,4590.490746,amount_response,amount_ratio_proxy,true,4.34e-19,-0.000048,warn,false,pass,ewma_realtime,false,false,true,KF did not converge
20260710,600030.SH,45,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,-0.001059,0.00154,-0.001059,0.00154,-0.00095,-0.000024,-0.000087,0.000003,0.002962,-0.003581,-0.000331,-0.003912,0.003934,0.003961,,0.004326,254.207153,252.492513,,231.141778,amount_response,amount_ratio_proxy,false,4.34e-19,0.000003,warn,false,pass,ewma_realtime,false,false,true,KF did not converge
20260710,600030.SH,46,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,0.001766,0.001418,0.001766,0.001418,0.001729,0.00007,-0.00026,0.000226,0.001116,0.000613,0,0.000613,0.003306,0.000144,,0.000144,302.496423,6951.043079,,6951.043079,amount_response,amount_ratio_proxy,false,4.34e-19,0.000226,warn,false,pass,ewma_realtime,false,false,true,KF did not converge
20260710,600030.SH,47,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,0.00141,0.001418,0.00141,0.001418,0.000728,-0.000002,0.000693,-0.000008,0.000817,-0.000089,-0,-0.000089,0.000149,-0.000011,,-0.000011,6718.238221,88722.429621,,88722.429621,amount_response,amount_ratio_proxy,false,4.34e-19,-0.000008,warn,false,pass,ewma_realtime,false,false,true,KF did not converge
20260710,600067.SH,0,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,-0.014599,0.000082,-0.014599,0.000082,-0,0,0,-0.014599,-0,-0,0,-0,-0,0,,0,1000000,1000000,,1000000,amount_response,amount_ratio_proxy,true,8.67e-19,-0.014599,warn,false,pass,ewma_realtime,false,false,true,KF did not converge
20260710,600067.SH,1,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,0,0.007361,0,0.007361,0.003555,-0.003472,0,-0.000082,-0.006995,0.01055,0,0.01055,-0.014849,-0.02832,,-0.02832,67.344905,35.310191,,35.310191,amount_response,amount_ratio_proxy,false,8.67e-19,-0.000082,warn,false,pass,ewma_realtime,false,false,true,KF did not converge
20260710,600067.SH,2,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,0.007407,0.006314,0.007407,0.006314,0.00537,-0.000041,0.002033,0.000046,-0.030432,0.035801,0,0.035801,,-0.138401,,-0.138401,,7.225356,,7.225356,amount_response,amount_ratio_proxy,false,8.67e-19,0.000046,warn,false,pass,ewma_realtime,false,false,true,KF did not converge
