stock_code,transaction_date,window_id,order_age_missing_count,window_close_price,active_inferred_count,small_passive_buy_amount,order_age_fifo_count,active_buy_count,deal_amount,Q_rule_t,small_passive_sell_amount,signal_deal_buy_amount,window_trade_count,R_seed_t,order_age_unresolved_count,large_active_buy_amount,large_active_sell_amount,passive_quant_amount,passive_retail_amount,side_fallback_count,order_age_direct_count,active_buy_amount,pi_max_price_impact_pct,order_age_recovered_count,active_sell_amount,window_open_price,active_sell_count,active_non_large_amount,signed_large_active_amount,CH_rule_t,signed_mix_qr_amount,signal_deal_sell_amount,unknown_side_amount
000002.SZ,20260709,27,0,2.97,404,1480631,0,187,6199854.800000001,-2379193.6,3523026.5999999996,1480631,404,0,0,0,1196197.2000000002,0,0,0,404,1312232,-0.0033557046979865056,404,4887622.800000001,2.98,217,-2379193.6,-1196197.2000000002,-1196197.2000000002,-2042395.5999999999,4719223.800000001,0
000002.SZ,20260709,28,0,2.96,1626,694213,0,150,11562208,-9527022,10211171,694213,1626,0,0,0,656824,0,0,0,1626,689181,-0.0033670033670034445,1626,10873027,2.97,1476,-9527022,-656824,-656824,-9516958,10867995,0
000002.SZ,20260709,29,0,2.97,1021,5824849,0,913,7296144,4437618,1471295,5824849,1021,0,0,0,0,0,0,0,1021,5866881,0.0033783783783784566,1021,1429263,2.96,108,4437618,0,0,4353554,1471295,0
000002.SZ,20260709,30,0,2.96,1047,1517163,0,483,5243924,-1586519,3726466,1517163,1047,0,0,0,295,0,0,0,1047,1828555,-0.0033670033670034445,1047,3415369,2.96,564,-1586519,-295,-295,-2209303,3726761,0
000002.SZ,20260709,31,0,2.96,896,1364820,0,647,2893708.12,-454150.12,1528298.12,1364820,896,0,0,0,590,0,0,0,896,1219484,0,896,1674224.12,2.97,249,-454150.12,-590,-590,-163478.12,1528888.12,0
000002.SZ,20260709,32,0,2.96,225,330264,0,57,1351464,-690936,1021200,330264,225,0,0,0,0,0,0,0,225,330264,0,225,1021200,2.96,168,-690936,0,0,-690936,1021200,0
000002.SZ,20260709,33,0,2.97,173,1181763,0,95,1870555,492971,688792,1181763,173,0,0,0,0,0,0,0,173,1181763,0.0033783783783784566,173,688792,2.97,78,492971,0,0,492971,688792,0
000002.SZ,20260709,34,0,2.96,472,2790018,0,255,4989298,1092984.88,1697033.12,2790018,472,0,0,0,502246.88,0,0,0,472,2790018,-0.0033670033670034445,472,2199280,2.96,217,1092984.88,-502246.88,-502246.88,1092984.88,2199280,0
000002.SZ,20260709,35,0,2.97,803,3483159,0,693,4358534,2617882,875375,3483159,803,0,0,0,0,0,0,0,803,3488208,0.0033783783783784566,803,870326,2.97,110,2617882,0,0,2607784,875375,0
000002.SZ,20260709,36,0,2.98,309,348958,0,205,852967,-155051,504009,348958,309,0,0,0,0,0,0,0,309,348958,0.003367003367003295,309,504009,2.97,104,-155051,0,0,-155051,504009,0
000002.SZ,20260709,37,0,2.97,1689,1644657,0,529,5427442,-2248064,3768575,1644955,1689,0,0,298,13912,0,0,0,1689,1582882,-0.0033557046979865056,1689,3844560,2.97,1160,-2248064,-13614,-13614,-2123918,3782487,0
000002.SZ,20260709,38,0,2.97,719,2189311,4,601,3564225,951317,1374020,2190205,719,0,0,894,0,0,0,0,715,2258218,0,719,1306007,2.97,118,951317,894,894,815291,1374020,0
000002.SZ,20260709,39,0,2.96,814,659237,0,142,4314999,-2961995,3590938,659237,814,0,0,0,64824,0,0,0,814,644090,-0.0033670033670034445,814,3670909,2.97,672,-2961995,-64824,-64824,-2931701,3655762,0
000002.SZ,20260709,40,0,2.97,736,2860411,1,581,3399313,2258887,521928,2875609,736,0,0,15198,1776,0,0,0,735,2835811,0.0033783783783784566,736,563502,2.97,155,2258887,13422,13422,2338483,523704,0
000002.SZ,20260709,41,0,2.98,279,632356,0,120,1403962,-139250,771606,632356,279,0,0,0,0,0,0,0,279,632356,0.003367003367003295,279,771606,2.98,159,-139250,0,0,-139250,771606,0
000002.SZ,20260709,42,0,2.98,535,1876208,0,436,3279830,1070744,805464,1876208,535,0,0,0,598158,0,0,0,535,1876208,0,535,1403622,2.98,99,1070744,-598158,-598158,1070744,1403622,0
000002.SZ,20260709,43,0,2.98,1434,3028574,2,1318,3556046,2501102,527472,3028574,1434,0,0,0,0,0,0,0,1432,3028574,0,1434,527472,2.98,116,2501102,0,0,2501102,527472,0
000002.SZ,20260709,44,0,2.99,1266,3764447,10,819,4783212,293142,1018765,3764447,1266,0,0,0,0,0,0,0,1256,2538177,0.0033557046979866547,1266,2245035,2.98,447,293142,0,0,2745682,1018765,0
000002.SZ,20260709,45,0,2.99,763,2571101,0,433,4859472.8,282729.19999999995,2288371.8,2571101,763,0,0,0,0,0,0,0,763,2571101,0,763,2288371.8,2.99,330,282729.19999999995,0,0,282729.19999999995,2288371.8,0
000002.SZ,20260709,46,0,2.98,1169,3326973,0,749,5328937,1325009,2001964,3326973,1169,0,0,0,0,0,0,0,1169,3326973,-0.0033444816053512477,1169,2001964,2.98,420,1325009,0,0,1325009,2001964,0
000002.SZ,20260709,47,0,2.98,694,3602366.88,2,203,5725604.96,-2799590.96,2123238.08,3602366.88,694,0,0,0,0,0,0,0,692,1463007,0,694,4262597.96,2.99,491,-2799590.96,0,0,1479128.7999999998,2123238.08,0
000004.SZ,20260709,0,0,0.39,39,108250,0,27,129014.39,87485.61,20764.39,108250,39,0,0,0,0,0,0,0,39,108250,-0.025000000000000022,39,20764.39,0.4,12,87485.61,0,0,87485.61,20764.39,0
000004.SZ,20260709,1,0,0.39,16,468.39,0,6,42276,35724,41807.61,468.39,16,0,0,0,0,0,0,0,16,39000,0,16,3276,0.39,10,35724,0,0,-41339.22,41807.61,0
000004.SZ,20260709,2,0,0.39,7,0,0,0,4173,-4173,4173,0,7,0,0,0,0,0,0,0,7,0,0,7,4173,0.39,7,-4173,0,0,-4173,4173,0
000004.SZ,20260709,3,0,0.42,101,275649,0,75,561419,-35721,285770,275649,101,0,0,0,0,0,0,0,101,262849,0.07692307692307684,101,298570,0.39,26,-35721,0,0,-10121,285770,0
000004.SZ,20260709,4,0,0.42,31,0,0,0,143556,-143556,143556,0,31,0,0,0,0,0,0,0,31,0,0,31,143556,0.42,31,-143556,0,0,-143556,143556,0
000004.SZ,20260709,5,0,0.42,20,0,0,0,89880,-89880,89880,0,20,0,0,0,0,0,0,0,20,0,0,20,89880,0.42,20,-89880,0,0,-89880,89880,0
000004.SZ,20260709,6,0,0.42,28,0,0,0,490723.8,-490723.8,490723.8,0,28,0,0,0,0,0,0,0,28,0,0,28,490723.8,0.42,28,-490723.8,0,0,-490723.8,490723.8,0
000004.SZ,20260709,7,0,0.41,19,1297.8,0,2,7737.2,-5141.6,6439.4,1297.8,19,0,0,0,0,0,0,0,19,1297.8,-0.023809523809523832,19,6439.4,0.42,17,-5141.6,0,0,-5141.6,6439.4,0
000004.SZ,20260709,8,0,0.41,11,2646,0,2,5574.22,-282.2199999999999,2928.22,2646,11,0,0,0,0,0,0,0,11,2646,0,11,2928.22,0.41,9,-282.2199999999999,0,0,-282.2199999999999,2928.22,0
000004.SZ,20260709,9,0,0.41,6,0,0,0,10250,-10250,10250,0,6,0,0,0,0,0,0,0,6,0,0,6,10250,0.41,6,-10250,0,0,-10250,10250,0
000004.SZ,20260709,10,0,0.42,36,178765.02,0,29,193213.02,164317.02,14448,178765.02,36,0,0,0,0,0,0,0,36,178765.02,0.024390243902439046,36,14448,0.42,7,164317.02,0,0,164317.02,14448,0
000004.SZ,20260709,11,0,0.42,15,0,0,0,36918,-36918,36918,0,15,0,0,0,0,0,0,0,15,0,0,15,36918,0.42,15,-36918,0,0,-36918,36918,0
000004.SZ,20260709,12,0,0.42,8,0,0,0,5208,-5208,5208,0,8,0,0,0,0,0,0,0,8,0,0,8,5208,0.42,8,-5208,0,0,-5208,5208,0
000004.SZ,20260709,13,0,0.42,7,0,0,0,11592,-11592,11592,0,7,0,0,0,0,0,0,0,7,0,0,7,11592,0.42,7,-11592,0,0,-11592,11592,0
000004.SZ,20260709,14,0,0.42,5,0,0,0,5712,-5712,5712,0,5,0,0,0,0,0,0,0,5,0,0,5,5712,0.42,5,-5712,0,0,-5712,5712,0
000004.SZ,20260709,15,0,0.42,9,0,0,0,9618,-9618,9618,0,9,0,0,0,0,0,0,0,9,0,0,9,9618,0.42,9,-9618,0,0,-9618,9618,0
000004.SZ,20260709,16,0,0.42,6,0,0,0,1890,-1890,1890,0,6,0,0,0,0,0,0,0,6,0,0,6,1890,0.42,6,-1890,0,0,-1890,1890,0
000004.SZ,20260709,17,0,0.42,5,0,0,0,24654,-24654,24654,0,5,0,0,0,0,0,0,0,5,0,0,5,24654,0.42,5,-24654,0,0,-24654,24654,0
