stock_code,transaction_date,window_id,order_age_fifo_count,window_open_price,deal_amount,Q_rule_t,active_buy_amount,active_sell_count,CH_rule_t,active_buy_count,side_fallback_count,large_active_sell_amount,order_age_unresolved_count,order_age_missing_count,passive_retail_amount,window_close_price,small_passive_buy_amount,pi_max_price_impact_pct,signal_deal_sell_amount,order_age_recovered_count,window_trade_count,active_inferred_count,active_non_large_amount,unknown_side_amount,order_age_direct_count,signed_large_active_amount,signal_deal_buy_amount,small_passive_sell_amount,R_seed_t,signed_mix_qr_amount,passive_quant_amount,large_active_buy_amount,active_sell_amount
000002.SZ,20260709,8,0,3.01,4403852,-1647048,1378402,280,0,379,0,0,0,0,0,3,1401880,-0.003322259136212554,3001972,663,663,659,-1641931,0,663,0,1401880,3001972,0,-1600092,-5117,0,3020333
000002.SZ,20260709,9,0,3.01,3281492,-1919308,298592,293,-765000,62,0,765000,0,0,0,3,298592,0,2982900,355,355,355,-1919308,0,355,-765000,298592,2217900,0,-1919308,0,0,2982900
000002.SZ,20260709,10,0,3,3325867,456595,1891231,201,0,519,0,0,0,0,0,2.99,1910131,-0.0033333333333332624,1415736,720,720,720,456595,0,720,0,1910131,1415736,0,494395,0,0,1434636
000002.SZ,20260709,11,0,2.99,7911736,-6786180,562480,856,-596,125,0,596,0,0,0,2.98,563377,-0.0033444816053512477,7348359,981,981,981,-6786180,0,981,-596,563377,7347763,0,-6784386,0,0,7349256
000002.SZ,20260709,12,0,2.98,1497401,-992091,252655,157,0,75,0,0,0,0,0,2.99,252655,0.0033557046979866547,1244746,232,232,232,-992091,0,232,0,252655,1244746,0,-992091,0,0,1244746
000002.SZ,20260709,13,0,2.99,3162876,-2507468,327704,311,0,67,0,0,0,0,0,2.99,327704,0,2835172,378,378,378,-2507468,0,378,0,327704,2835172,0,-2507468,0,0,2835172
000002.SZ,20260709,14,0,2.99,5047674,-2967729,1036260,414,-7425.000000000001,144,0,7425.000000000001,0,0,0,2.98,1045200,-0.0033444816053512477,4002474,558,558,558,-2967729,0,558,-7425.000000000001,1045200,3995049,0,-2949849,0,0,4011414
000002.SZ,20260709,15,0,2.98,1316491,388069,852280,76,0,141,0,0,0,0,0,2.98,852280,0,464211,217,217,217,388069,0,217,0,852280,464211,0,388069,0,0,464211
000002.SZ,20260709,16,0,2.97,2723149,-452969,606430,84,-1057320,113,0,1057320,0,0,0,2.97,606430,-0.0033557046979865056,2116719,197,197,197,-452969,0,197,-1057320,606430,1059399,0,-452969,0,0,2116719
000002.SZ,20260709,17,0,2.97,12954238.3,7192733.3,11150259.3,211,2153547,637,0,0,0,0,0,2.96,591642,-0.0033670033670034445,12362596.3,848,848,848,7192733.3,0,848,2153547,591642,10209049.3,0,-9617407.3,0,2153547,1803979
000002.SZ,20260709,18,0,2.97,3356279,275807,1563111,109,-505864,192,0,505864,0,0,0,2.97,1563111,0.0033783783783784566,1793168,301,301,301,275807,0,301,-505864,1563111,1287304,0,275807,0,0,1793168
000002.SZ,20260709,19,0,2.97,2597388,560316,1578852,83,0,227,0,0,0,0,0,2.97,1578852,0,1018536,310,310,310,560316,0,310,0,1578852,1018536,0,560316,0,0,1018536
000002.SZ,20260709,20,0,2.96,2647679,-562145,1042767,151,0,99,0,0,0,0,0,2.97,1042767,0,1604912,250,250,250,-562145,0,250,0,1042767,1604912,0,-562145,0,0,1604912
000002.SZ,20260709,21,0,2.97,1779307,536699,1158003,69,0,172,0,0,0,0,0,2.97,1158003,0,621304,241,241,241,536699,0,241,0,1158003,621304,0,536699,0,0,621304
000002.SZ,20260709,22,0,2.97,1807093,-41131,882981,92,0,103,0,0,0,0,0,2.97,882981,0,924112,195,195,195,-41131,0,195,0,882981,924112,0,-41131,0,0,924112
000002.SZ,20260709,23,0,2.97,3201206,822550,2011878,164,0,267,0,0,0,0,0,2.97,2011878,0,1189328,431,431,431,822550,0,431,0,2011878,1189328,0,822550,0,0,1189328
000002.SZ,20260709,24,0,2.97,4221906,911442,2566674,197,0,489,0,0,0,0,0,2.96,2566674,-0.0033670033670034445,1655232,686,686,686,911442,0,686,0,2566674,1655232,0,911442,0,0,1655232
000002.SZ,20260709,25,0,2.96,6420585.79,3638861.79,5032107.79,261,4768,851,0,0,0,0,0,2.97,4719668.58,0.0033783783783784566,1696149.21,1112,1112,1112,3638861.79,0,1112,4768,4724436.58,1696149.21,0,3023519.37,0,4768,1388478
000002.SZ,20260709,26,0,2.97,2526638.2,29105.799999999977,1277872,176,0,161,0,0,0,0,0,2.98,1162042,0.003367003367003295,1364596.2,337,337,337,29105.799999999977,0,337,0,1162042,1364596.2,0,-202554.2,0,0,1248766.2
000002.SZ,20260709,27,0,2.98,6199854.800000001,-2379193.6,1312232,217,-1196197.2000000002,187,0,1196197.2000000002,0,0,0,2.97,1480631,-0.0033557046979865056,4719223.800000001,404,404,404,-2379193.6,0,404,-1196197.2000000002,1480631,3523026.5999999996,0,-2042395.5999999999,0,0,4887622.800000001
000002.SZ,20260709,28,0,2.97,11562208,-9527022,689181,1476,-656824,150,0,656824,0,0,0,2.96,694213,-0.0033670033670034445,10867995,1626,1626,1626,-9527022,0,1626,-656824,694213,10211171,0,-9516958,0,0,10873027
000002.SZ,20260709,29,0,2.96,7296144,4437618,5866881,108,0,913,0,0,0,0,0,2.97,5824849,0.0033783783783784566,1471295,1021,1021,1021,4437618,0,1021,0,5824849,1471295,0,4353554,0,0,1429263
000002.SZ,20260709,30,0,2.96,5243924,-1586519,1828555,564,-295,483,0,295,0,0,0,2.96,1517163,-0.0033670033670034445,3726761,1047,1047,1047,-1586519,0,1047,-295,1517163,3726466,0,-2209303,0,0,3415369
000002.SZ,20260709,31,0,2.97,2893708.12,-454150.12,1219484,249,-590,647,0,590,0,0,0,2.96,1364820,0,1528888.12,896,896,896,-454150.12,0,896,-590,1364820,1528298.12,0,-163478.12,0,0,1674224.12
000002.SZ,20260709,32,0,2.96,1351464,-690936,330264,168,0,57,0,0,0,0,0,2.96,330264,0,1021200,225,225,225,-690936,0,225,0,330264,1021200,0,-690936,0,0,1021200
000002.SZ,20260709,33,0,2.97,1870555,492971,1181763,78,0,95,0,0,0,0,0,2.97,1181763,0.0033783783783784566,688792,173,173,173,492971,0,173,0,1181763,688792,0,492971,0,0,688792
000002.SZ,20260709,34,0,2.96,4989298,1092984.88,2790018,217,-502246.88,255,0,502246.88,0,0,0,2.96,2790018,-0.0033670033670034445,2199280,472,472,472,1092984.88,0,472,-502246.88,2790018,1697033.12,0,1092984.88,0,0,2199280
000002.SZ,20260709,35,0,2.97,4358534,2617882,3488208,110,0,693,0,0,0,0,0,2.97,3483159,0.0033783783783784566,875375,803,803,803,2617882,0,803,0,3483159,875375,0,2607784,0,0,870326
000002.SZ,20260709,36,0,2.97,852967,-155051,348958,104,0,205,0,0,0,0,0,2.98,348958,0.003367003367003295,504009,309,309,309,-155051,0,309,0,348958,504009,0,-155051,0,0,504009
000002.SZ,20260709,37,0,2.97,5427442,-2248064,1582882,1160,-13614,529,0,13912,0,0,0,2.97,1644657,-0.0033557046979865056,3782487,1689,1689,1689,-2248064,0,1689,-13614,1644955,3768575,0,-2123918,0,298,3844560
000002.SZ,20260709,38,4,2.97,3564225,951317,2258218,118,894,601,0,0,0,0,0,2.97,2189311,0,1374020,719,719,719,951317,0,715,894,2190205,1374020,0,815291,0,894,1306007
000002.SZ,20260709,39,0,2.97,4314999,-2961995,644090,672,-64824,142,0,64824,0,0,0,2.96,659237,-0.0033670033670034445,3655762,814,814,814,-2961995,0,814,-64824,659237,3590938,0,-2931701,0,0,3670909
000002.SZ,20260709,40,1,2.97,3399313,2258887,2835811,155,13422,581,0,1776,0,0,0,2.97,2860411,0.0033783783783784566,523704,736,736,736,2258887,0,735,13422,2875609,521928,0,2338483,0,15198,563502
