stock_code,transaction_date,window_id,active_sell_count,CH_rule_t,order_age_direct_count,passive_quant_amount,deal_amount,active_inferred_count,order_age_recovered_count,pi_max_price_impact_pct,order_age_fifo_count,signal_deal_sell_amount,active_sell_amount,active_buy_amount,window_close_price,large_active_sell_amount,order_age_unresolved_count,small_passive_sell_amount,active_buy_count,active_non_large_amount,window_open_price,signed_large_active_amount,small_passive_buy_amount,side_fallback_count,passive_retail_amount,order_age_missing_count,signed_mix_qr_amount,unknown_side_amount,large_active_buy_amount,Q_rule_t,signal_deal_buy_amount,window_trade_count,R_seed_t
000002.SZ,20260709,24,197,0,686,0,4221906,686,686,-0.0033670033670034445,0,1655232,1655232,2566674,2.96,0,0,1655232,489,911442,2.97,0,2566674,0,0,0,911442,0,0,911442,2566674,686,0
000002.SZ,20260709,25,261,4768,1112,0,6420585.79,1112,1112,0.0033783783783784566,0,1696149.21,1388478,5032107.79,2.97,0,0,1696149.21,851,3638861.79,2.96,4768,4719668.58,0,0,0,3023519.37,0,4768,3638861.79,4724436.58,1112,0
000002.SZ,20260709,26,176,0,337,0,2526638.2,337,337,0.003367003367003295,0,1364596.2,1248766.2,1277872,2.98,0,0,1364596.2,161,29105.799999999977,2.97,0,1162042,0,0,0,-202554.2,0,0,29105.799999999977,1162042,337,0
000002.SZ,20260709,27,217,-1196197.2000000002,404,0,6199854.800000001,404,404,-0.0033557046979865056,0,4719223.800000001,4887622.800000001,1312232,2.97,1196197.2000000002,0,3523026.5999999996,187,-2379193.6,2.98,-1196197.2000000002,1480631,0,0,0,-2042395.5999999999,0,0,-2379193.6,1480631,404,0
000002.SZ,20260709,28,1476,-656824,1626,0,11562208,1626,1626,-0.0033670033670034445,0,10867995,10873027,689181,2.96,656824,0,10211171,150,-9527022,2.97,-656824,694213,0,0,0,-9516958,0,0,-9527022,694213,1626,0
000002.SZ,20260709,29,108,0,1021,0,7296144,1021,1021,0.0033783783783784566,0,1471295,1429263,5866881,2.97,0,0,1471295,913,4437618,2.96,0,5824849,0,0,0,4353554,0,0,4437618,5824849,1021,0
000002.SZ,20260709,30,564,-295,1047,0,5243924,1047,1047,-0.0033670033670034445,0,3726761,3415369,1828555,2.96,295,0,3726466,483,-1586519,2.96,-295,1517163,0,0,0,-2209303,0,0,-1586519,1517163,1047,0
000002.SZ,20260709,31,249,-590,896,0,2893708.12,896,896,0,0,1528888.12,1674224.12,1219484,2.96,590,0,1528298.12,647,-454150.12,2.97,-590,1364820,0,0,0,-163478.12,0,0,-454150.12,1364820,896,0
000002.SZ,20260709,32,168,0,225,0,1351464,225,225,0,0,1021200,1021200,330264,2.96,0,0,1021200,57,-690936,2.96,0,330264,0,0,0,-690936,0,0,-690936,330264,225,0
000002.SZ,20260709,33,78,0,173,0,1870555,173,173,0.0033783783783784566,0,688792,688792,1181763,2.97,0,0,688792,95,492971,2.97,0,1181763,0,0,0,492971,0,0,492971,1181763,173,0
